# Snapshot: OSRS Wiki Quests/List, 2026-09-05
# name<TAB>difficulty
The Curse of Arrav	Master
Defender of Varrock	Experienced
Sins of the Father	Master
A Kingdom Divided	Experienced
A Porcine of Interest	Novice
Getting Ahead	Intermediate
A Night at the Theatre	Master
Beneath Cursed Sands	Master
Temple of the Eye	Intermediate
The Path of Glouphrie	Experienced
Sleeping Giants	Intermediate
The Garden of Death	Intermediate
Desert Treasure II - The Fallen Empire	Grandmaster
Secrets of the North	Master
Children of the Sun	Novice
Perilous Moons	Master
The Ribbiting Tale of a Lily Pad Labour Dispute	Novice
Twilight's Promise	Intermediate
At First Light	Intermediate
The Heart of Darkness	Experienced
Death on the Isle	Intermediate
Meat and Greet	Experienced
Ethically Acquired Antiquities	Novice
The Blood Moon Rises	Grandmaster
The Final Dawn	Master
Pandemonium	Novice
Prying Times	Intermediate
Current Affairs	Novice
Troubled Tortugans	Experienced
The Red Reef	Experienced
Shadows of Custodia	Experienced
Scrambled!	Intermediate
Fallen From Grace	Experienced
Alfred Grimhand's Barcrawl	Novice
Enter the Abyss	Intermediate
The General's Shadow	Experienced
Barbarian Training	Experienced
Skippy and the Mogres	Novice
Curse of the Empty Lord	Experienced
Lair of Tarn Razorlor	Experienced
Bear Your Soul	Intermediate
The Enchanted Key	Intermediate
Mage Arena I	Experienced
Family Pest	Intermediate
Mage Arena II	Master
In Search of Knowledge	Experienced
Daddy's Home	Novice
The Frozen Door	Master
Hopespear's Will	Master
Into the Tombs	Master
His Faithful Servants	Experienced
Vale Totems	Novice
